Alert1,Date1,Time1,Speed1,Alert2,Date2,Time2,Speed2
cas_hmw,16-08-2022,2023-09-10 16:56:08,51,cas_hmw,17-08-2022,2023-09-10 16:56:32,53
cas_hmw,17-08-2022,2023-09-10 08:28:14,55,cas_hmw,02-08-2022,2023-09-10 08:29:06,55
cas_hmw,17-08-2022,2023-09-10 16:41:05,54,cas_hmw,08-08-2022,2023-09-10 16:41:35,56
cas_hmw,17-08-2022,2023-09-10 16:41:25,56,cas_hmw,08-08-2022,2023-09-10 16:41:35,56
cas_hmw,17-08-2022,2023-09-10 16:42:20,52,cas_hmw,10-08-2022,2023-09-10 16:43:20,51
cas_hmw,17-08-2022,2023-09-10 16:56:32,53,cas_hmw,23-08-2022,2023-09-10 16:56:44,52
cas_hmw,17-08-2022,2023-09-10 18:07:24,52,cas_hmw,08-08-2022,2023-09-10 18:08:15,54
cas_hmw,18-08-2022,2023-09-10 08:28:20,56,cas_hmw,02-08-2022,2023-09-10 08:29:06,55
cas_hmw,18-08-2022,2023-09-10 08:28:27,56,cas_hmw,02-08-2022,2023-09-10 08:29:06,55
cas_hmw,18-08-2022,2023-09-10 16:37:30,58,cas_hmw,16-08-2022,2023-09-10 16:37:57,56
cas_hmw,18-08-2022,2023-09-10 16:38:18,54,cas_hmw,17-08-2022,2023-09-10 16:38:27,57
cas_hmw,22-08-2022,2023-09-10 16:41:37,51,cas_hmw,17-08-2022,2023-09-10 16:42:20,52
cas_hmw,22-08-2022,2023-09-10 16:41:48,58,cas_hmw,17-08-2022,2023-09-10 16:42:20,52
cas_hmw,23-08-2022,2023-09-10 16:38:01,53,cas_hmw,16-08-2022,2023-09-10 16:38:10,56
cas_hmw,23-08-2022,2023-09-10 16:38:20,55,cas_hmw,17-08-2022,2023-09-10 16:38:27,57
cas_hmw,23-08-2022,2023-09-10 16:56:44,52,cas_hmw,23-08-2022,2023-09-10 16:56:53,56
cas_hmw,24-08-2022,2023-09-10 07:59:05,58,cas_hmw,05-08-2022,2023-09-10 08:00:05,52
cas_hmw,29-08-2022,2023-09-10 08:27:42,55,cas_hmw,17-08-2022,2023-09-10 08:28:14,55
cas_hmw,29-08-2022,2023-09-10 08:33:13,56,cas_hmw,16-08-2022,2023-09-10 08:33:46,55
cas_hmw,29-08-2022,2023-09-10 08:33:17,56,cas_hmw,16-08-2022,2023-09-10 08:33:46,55
cas_hmw,29-08-2022,2023-09-10 08:34:55,58,cas_hmw,15-08-2022,2023-09-10 08:35:42,59
cas_hmw,29-08-2022,2023-09-10 08:35:03,53,cas_hmw,15-08-2022,2023-09-10 08:35:42,59
cas_hmw,29-08-2022,2023-09-10 08:35:09,53,cas_hmw,15-08-2022,2023-09-10 08:35:42,59
cas_hmw,30-08-2022,2023-09-10 08:26:50,51,cas_hmw,02-08-2022,2023-09-10 08:27:36,52
cas_hmw,30-08-2022,2023-09-10 08:32:18,57,cas_hmw,12-08-2022,2023-09-10 08:32:39,52
cas_hmw,30-08-2022,2023-09-10 08:32:32,55,cas_hmw,12-08-2022,2023-09-10 08:32:39,52
cas_hmw,31-08-2022,2023-09-10 08:27:31,55,cas_hmw,02-08-2022,2023-09-10 08:27:36,52
cas_hmw,31-08-2022,2023-09-10 08:34:37,52,cas_hmw,11-08-2022,2023-09-10 08:34:49,52
